Read the numbered studio archive below. Preserve the facts. After reading all records, return only the color named in the final record.
Record 0001: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0002: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0003: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0004: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0005: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0006: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0007: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0008: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0009: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0010: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0011: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0012: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0013: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0014: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0015: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0016: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0017: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0018: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0019: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0020: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0021: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0022: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0023: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0024: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0025: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0026: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0027: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0028: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0029: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0030: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0031: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0032: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0033: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0034: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0035: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0036: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0037: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0038: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0039: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0040: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0041: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0042: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0043: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0044: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0045: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0046: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0047: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0048: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0049: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0050: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0051: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0052: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0053: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0054: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0055: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0056: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0057: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0058: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0059: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0060: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0061: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0062: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0063: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0064: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0065: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0066: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0067: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0068: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0069: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0070: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0071: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0072: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0073: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0074: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0075: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0076: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0077: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0078: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0079: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0080: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0081: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0082: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0083: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0084: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0085: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0086: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0087: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0088: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0089: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0090: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0091: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0092: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0093: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0094: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0095: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0096: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0097: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0098: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0099: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0100: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0101: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0102: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0103: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0104: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0105: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0106: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0107: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0108: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0109: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0110: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
Record 0111: The studio keeps a blue notebook beside the quiet piano. The artist reviews the melody, checks the light, and saves the draft.
